tag,del,scode,sampname,date,site_name,habitat,microhab,majorhab,management,plotnum,recnum,voucher,abunc,abun,common,xspecies,dups,oldspnumbe,spnumber,family,genus,sp1,author1,rank1,sp2,author2,rank2,sp3,author3,id,xspcode,xxtaxstat,sptempid,species,treetaxa,xxfamily,star,synstar,xstar,detstatus,synspnum
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,11,11,"",1,"?????","Ligustrum obtusifolium Sieb. & Zucc.","",4645,4645,"Oleaceae","Ligustrum","obtusifolium","Sieb. & Zucc.","","","","","","",11,135,"No st",4645,"Ligustrum obtusifolium Sieb. et Zucc.","Ligustrum obtusifolium","OLEACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,12,12,"",1,"?????","Styrax japonica Sieb. & Zucc.","",4592,4592,"Styracaceae","Styrax","japonicus","Sieb. & Zucc.","","","","","","",12,218,"No st",4592,"Styrax japonicus Sieb. et Zucc.","Styrax japonica","STYRACACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,13,13,"",1,"???????","Haloragis micrantha (Thunb.) R. Br.","",5723,5723,"Haloragaceae","Haloragis","micrantha","(Thunb.) R. Br.","","","","","","",13,329,"No st",5723,"Haloragis micrantha (Thunb.) R. Br. ex Sieb. et Zucc.","Haloragis micrantha","HALORAGACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,14,14,"",1,"???","Magnolia praecoccisima Koidz.","",29791,29791,"MAGNOLIACEAE","Magnolia","praecoccisima","Koidz.","","","","","","",14,127,"No st",29791,"Magnolia praecoccisima Koidz.","Magnolia praecoccisima","MAGNOLIACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,15,15,"",1,"???","Akebia quinata (Thunb.) Decne.","",10579,10579,"Lardizabalaceae","Akebia","quinata","(Thunb.) Decne.","","","","","","",15,249,"No st",10579,"Akebia quinata (Houtt.) Decne.","Akebia quinata","LARDIZABALACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,16,16,"",1,"??","Wisteria floribunda (Willd.) DC.","",11647,11647,"Leguminosae-p.","Wisteria","floribunda","(Willd.) DC.","","","","","","",16,104,"No st",11647,"Wisteria floribunda (Willd.) DC.","Wisteria floribunda","LEGUMINOSAE-PAPILIONOIDEAE","BU","BU","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,17,17,"",1,"????","Sambucus racemosa L. subsp. sieboldiana (Miq.) Hara","",585,585,"Caprifoliaceae","Sambucus","racemosa","L.","subsp.","sieboldiana","(Miq.) Hara","","","",17,409,"No st",585,"Sambucus racemosa L. subsp. sieboldiana Miq.","Sambucus racemosa ssp. sieboldiana","CAPRIFOLIACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,18,18,"",1,"????","Neolitsea sericea (Blume) Koidz.","",10305,10305,"Lauraceae","Neolitsea","sericea","(Blume) Koidz.","","","","","","",18,124,"No st",10305,"Neolitsea sericea (Blume) Koidz.","Neolitsea sericea","LAURACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,19,19,"",1,"????","Albizia julibrissin Durazz.","",11594,11594,"Leguminosae-m.","Albizia","julibrissin","Durazz.","","","","","","",19,92,"No st",11594,"Albizia julibrissin Durazz.","Albizia julibrissin","LEGUMINOSAE-MIMOSOIDEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,20,20,"",1,"????","Ampelopsis brevipedunculata (Maxim.) Trautv. var. heterophylla (Thunb.) Hara","",29793,29793,"Vitaceae","Ampelopsis","brevipedunculata","(Maxim.) Trautv.","var.","heterophylla","(Thunb.) Hara","","","",20,253,"No st",29793,"Ampelopsis brevipedunculata (Maxim.) Trautv. var. heterophylla (Thunb.) Hara","Ampelopsis brevipedunculata var. heterophylla","VITACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,21,21,"",1,"????","Euscaphis japonica (Thunb.) Kanitz","",5455,5455,"Staphyleaceae","Euscaphis","japonica","(Thunb.) Kanitz","","","","","","",21,324,"No st",5455,"Euscaphis japonica (Thunb.) Kanitz","Euscaphis japonica","STAPHYLEACEAE","GN","GN","GN","",0,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,22,22,"",1,"?????","Prunus buergeriana Miq.","",16630,11326,"","","buergeriana","Miq.","","","","","","",22,-999,"NEW!",16630,"Padus buergeriana (Miq.) T.T.Yu et T.C.Ku","Prunus buergeriana","ROSACEAE","GN","","BU","",16630,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,23,23,"",1,"???","Celtis sinensis Persoon var. japonica (Planch.) Nakai","",12493,9767,"","","sinensis","Persoon","","","(Planch.) Nakai","","","",23,287,"No st",12493,"Celtis sinensis Pers.","Celtis sinensis var. japonica","ULMACEAE","GN","","GN","",12493,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,24,24,"",1,"????","Viburnum dilatatum Thunb. ex Murr.","",5219,5219,"Caprifoliaceae","Viburnum","dilatatum","Thunb. ex Murr.","","","","","","",24,441,"No st",5219,"Viburnum dilatatum Thunb. ex Murray","Viburnum dilatatum","CAPRIFOLIACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,25,25,"",1,"???????","Lonicera gracilipes Miq. var. glabra Miq.","",598,598,"Caprifoliaceae","Lonicera","gracilipes","Miq.","var.","glabra","Miq.","","","",25,358,"No st",598,"Lonicera gracilipes Miq. var. glabra","Lonicera gracilipes var. glabra","CAPRIFOLIACEAE","BU","BU","BU","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,26,26,"",1,"????","Aphananthe aspera (Thunb.) Planch.","",9765,9765,"Ulmaceae","Aphananthe","aspera","(Thunb.) Planch.","","","","","","",26,257,"No st",9765,"Aphananthe aspera (Thunb.) Planch.","Aphananthe aspera","ULMACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,27,27,"",1,"??????","Ligustrum ovalifolium Hassk.","",4642,4642,"Oleaceae","Ligustrum","ovalifolium","Hassk.","","","","","","",27,136,"No st",4642,"Ligustrum ovalifolium Hassk.","Ligustrum ovalifolium","OLEACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","edge","","y",1,28,28,"",1,"??????","Akebia trifoliata (Thunb.) Koidz.","",10580,10580,"Lardizabalaceae","Akebia","trifoliata","(Thunb.) Koidz.","","","","","","",28,250,"No st",10580,"Akebia trifoliata (Thunb.) Koidz.","Akebia trifoliata","LARDIZABALACEAE","GN","GN","GN","",0,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","edge","","y",1,29,29,"",1,"???????","Prunus grayana Maxim.","",16635,11327,"","","grayana","Maxim.","","","","","","",29,-999,"NEW!",16635,"Padus grayana (Maxim.) C.K.Schneid.","Prunus grayana","ROSACEAE","GN","","GN","",16635,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,30,30,"",1,"??","Cryptomeria japonica (L.f.) D. Don","",3965,3965,"Cryptomeriaceae","Cryptomeria","japonica","(L.f.) D. Don","","","","","","",30,298,"No st",3965,"Cryptomeria japonica (L. f.) D. Don","Cryptomeria japonica","TAXODIACEAE","BU","BU","BU","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,31,31,"",1,"??????","Lindera glauca (Sieb. & Zucc.) Blume","",10280,10280,"Lauraceae","Lindera","glauca","(Sieb. & Zucc.) Blume","","","","","","",31,122,"No st",10280,"Lindera glauca (Siebold et Zucc.) Blume","Lindera glauca","LAURACEAE","GN","GN","GN","",0,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,32,32,"",1,"?????","Prunus jamasakura Sieb. ex Koidz.","",16825,11370,"","","jamasakura","Sieb. ex Koidz.","var.","jamasakura","","","","",32,-999,"NEW!",16825,"Cerasus jamasakura (Siebold ex Koidz.) H.Ohba var. jamasakura","Prunus jamasakura","ROSACEAE","BU","","BU","",16825,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,33,33,"",1,"????","Quercus myrsinaefolia Blume","",30217,30217,"Fagaceae","Quercus","myrsinaefolia","Blume","","","","","","",33,109,"No st",30217,"Quercus myrsinaefolia Blume","Quercus myrsinaefolia","FAGACEAE","BU?","BU?","BU?","",0,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,34,34,"",1,"???","Rhus javanica L. var. roxburghii (DC.) Rehd. & Wils.","",2113,5372,"","","javanica","L.","","","(DC.) Rehd. & Wils.","","","",34,6,"No st",2113,"Rhus javanica L.","Rhus javanica var. roxburghii","ANACARDIACEAE","GN","GN","GN","",2113,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,35,35,"",1,"???","Aucuba japonica Thunb.","",3224,3224,"Cornaceae","Aucuba","japonica","Thunb.","","","","","","",35,270,"No st",3224,"Aucuba japonica Thunb.","Aucuba japonica","AUCUBACEAE","BU","BU","BU","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,36,36,"",1,"????","Chaenomeles japonica (Thunb.) Lindl. ex Sprach","",11308,11308,"Rosaceae","Chaenomeles","japonica","(Thunb.) Lindl. ex Sprach","","","","","","",36,178,"No st",11308,"Chaenomeles japonica (Thunb.) Lindl. ex Spach","Chaenomeles japonica","ROSACEAE","BU","BU","BU","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,37,37,"",1,"????","Eurya japonica Thunb.","",10738,10738,"Theaceae","Eurya","japonica","Thunb.","","","","","","",37,323,"No st",10738,"Eurya japonica Thunb.","Eurya japonica","THEACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,38,38,"",1,"???????","Smilax china L.","",29794,29794,"Smilacaceae","Smilax","china","L.","","","","","","",38,207,"No st",29794,"Smilax china L.","Smilax china","SMILACACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","edge","","y",1,39,39,"",1,"????","Vaccinium oldhamii Miq.","",4506,4506,"Ericaceae","Vaccinium","oldhamii","Miq.","","","","","","",39,89,"No st",4506,"Vaccinium oldhamii Miq.","Vaccinium oldhamii","ERICACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,40,40,"",1,"??????","Pleioblastus chino (Franch. & Savat.) Makino","",29795,29795,"Gramineae","Pleioblastus","chino","(Franch. & Savat.) Makino","","","","","","",40,395,"No st",29795,"Pleioblastus chino (Franch. & Savat.) Makino","Pleioblastus chino","POACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","edge","","y",1,41,41,"",1,"??","Castanea crenata Sieb. & Zucc.","",9752,9752,"Fagaceae","Castanea","crenata","Sieb. & Zucc.","","","","","","",41,105,"No st",9752,"Castanea crenata Siebold et Zucc","Castanea crenata","FAGACEAE","GN","GN","GN","",0,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,42,0,"",1,"?????","Acanthopanax spinosus (L.f.) Miq.","",9311,3229,"","","spinosus","(L.f.) Miq.","","","","","","",42,23,"No st",9311,"Eleutherococcus spinosus (L. f.) S. Y. Hu","Acanthopanax spinosus","ARALIACEAE","BU","BU","BU","",9311,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,43,54,"",1,"?????","Acanthopanax spinosus (L.f.) Miq.","",9311,3229,"","","spinosus","(L.f.) Miq.","","","","","","",43,23,"No st",9311,"Eleutherococcus spinosus (L. f.) S. Y. Hu","Acanthopanax spinosus","ARALIACEAE","BU","BU","BU","",9311,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,44,55,"",1,"????","Ampelopsis brevipedunculata (Maxim.) Trautv. var. heterophylla (Thunb.) Hara","",29793,29793,"Vitaceae","Ampelopsis","brevipedunculata","(Maxim.) Trautv.","var.","heterophylla","(Thunb.) Hara","","","",44,253,"No st",29793,"Ampelopsis brevipedunculata (Maxim.) Trautv. var. heterophylla (Thunb.) Hara","Ampelopsis brevipedunculata var. heterophylla","VITACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,45,57,"",1,"????","Commelina communis L.","",29796,24996,"Commelinaceae","Commelina","communis","L.","","","","","","",45,68,"No st",24996,"Commelina communis L.","Commelina communis","COMMELINACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,46,56,"",1,"?????","Rhus ambigua Lavall. ex Dippel","",5371,5371,"Anacardiaceae","Rhus","ambigua","Lavall. ex Dippel","","","","","","",46,5,"No st",5371,"Rhus ambigua Lavall{e'}e ex Dippel","Rhus ambigua","ANACARDIACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,47,58,"a",3,"???","Hedera rhombea (Miq.) Bean","",5740,5740,"Araliaceae","Hedera","rhombea","(Miq.) Bean","","","","","","",47,29,"No st",5740,"Hedera rhombea (Miq.) Bean","Hedera rhombea","ARALIACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,48,0,"",1,"????","Rubus microphyllus L.f.","",11420,11420,"Rosaceae","Rubus","microphyllus","L.f.","","","","","","",48,190,"No st",11420,"Rubus microphyllus L.f.","Rubus microphyllus","ROSACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,49,0,"",1,"???","Calanthe discolor Lindl.","",27092,27092,"Orchidaceae","Calanthe","discolor","Lindl.","","","","","","",49,274,"No st",27092,"Calanthe discolor Lindl.","Calanthe discolor","ORCHIDACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,50,0,"",1,"?????","Oplismenus undulatifolius (Arduino) Roem. & Schult.","",29551,29551,"Gramineae","Oplismenus","undulatifolius","(Arduino) Roem. & Schult.","","","","","","",50,382,"No st",29551,"Oplismenus undulatifolius (Ard.) Roemer & Schultes","Oplismenus undulatifolius","POACEAE","?","?","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,51,0,"",1,"????","Cephalanthera falcata (Thunb.) Blume","",27258,27258,"Orchidaceae","Cephalanthera","falcata","(Thunb.) Blume","","","","","","",51,141,"No st",27258,"Cephalanthera falcata (Thunb.) Blume","Cephalanthera falcata","ORCHIDACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,52,0,"",1,"?????","Ardisia crenata Sims","",4533,4533,"Myrsinaceae","Ardisia","crenata","Sims","","","","","","",52,260,"No st",4533,"Ardisia crenata Sims","Ardisia crenata","MYRSINACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,53,0,"",1,"?????","Ophiopogon japonicus (L.f.) Ker-Gawl.","",29797,29797,"Convallariaceae","Ophiopogon","japonicus","(L.f.) Ker-Gawl.","","","","","","",53,379,"No st",29797,"Ophiopogon japonicus (L.f.) Ker-Gawl.","Ophiopogon japonicus","CONVALLARIACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,54,0,"",1,"??????","Hosta albo-marginata (Hooker) Ohwi","",29798,29798,"Hostaceae","Hosta","albomarginata","(Hooker) Ohwi","","","","","","",54,334,"No st",29798,"Hosta albomarginata (Hooker) Ohwi","Hosta albo-marginata","HOSTACEAE","","","bu","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,55,0,"",1,"????","Liriope platyphylla Wang & Tang","",29799,29799,"Convallariaceae","Liriope","platyphylla","Wang & Tang","","","","","","",55,356,"No st",29799,"Liriope platyphylla Wang & Tang","Liriope platyphylla","CONVALLARIACEAE","","","syn","",0,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,56,0,"a",3,"??????","Paederia scandens (Lour.) Merr.","",7698,4835,"","","foetida","(Lour.) Merr.","","","","","","",56,386,"No st",7698,"Paederia foetida L.","Paederia scandens","RUBIACEAE","GN","syn","syn","",7698,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,57,59,"",1,"???????","Salvia nipponica Miq.","",4983,4983,"Labiatae","Salvia","nipponica","Miq.","","","","","","",57,120,"No st",4983,"Salvia nipponica Miq.","Salvia nipponica","LABIATAE","BU","BU","BU","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,58,0,"",1,"????","Cephalotaxus harringtonia (Knight) K. Koch","",4002,4002,"Cephalotaxaceae","Cephalotaxus","harringtonia","(Knight) K. Koch","","","","","","",58,65,"No st",4002,"Cephalotaxus harringtonia (Knight ex Forbes) K. Koch","Cephalotaxus harringtonia","CEPHALOTAXACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,59,60,"r",1,"???????","Disporum sessile Don","",29800,29800,"Convallariaceae","Disporum","sessile","Don","","","","","","",59,305,"No st",29800,"Disporum sessile Don","Disporum sessile","CONVALLARIACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,60,0,"r",1,"???????","Pertya robusta (Nakai) Beauv.","",4397,4397,"Asteraceae","Pertya","robusta","(Nakai) Beauv.","","","","","","",60,390,"No st",4397,"Pertya robusta (Maxim.) Beauverd","Pertya robusta","Asteraceae","BU","BU","BU","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,61,61,"",1,"????","Nandina domestica Thunb.","",10558,10558,"Berberidaceae","Nandina","domestica","Thunb.","","","","","","",61,377,"No st",10558,"Nandina domestica Thunb.","Nandina domestica","BERBERIDACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,62,62,"r",1,"????","Dryopteris erythrosora (Eaton) O. Ktze.","",3684,3684,"Dryopteridaceae","Dryopteris","erythrosora","(Eaton) O. Ktze.","","","","","","",62,308,"No st",3684,"Dryopteris erythrosora (D. C. Eaton) Kuntze","Dryopteris erythrosora","DRYOPTERIDACEAE","GN","GN","GN","",0,
"S"," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,63,0,"",1,"??????","Viola keiskei Miq. var. glabra (Makino) W. Becker","",2572,5586,"","","keiskei","Miq.","","","(Makino) W. Becker","","","",63,234,"No st",2572,"Viola keiskei Miq.","Viola keiskei var. glabra","VIOLACEAE","GN","syn","syn","",2572,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,64,0,"r",1,"???????","Viola grypoceras A. Gray","",3208,3208,"Violaceae","Viola","grypoceras","A. Gray","","","","","","",64,231,"No st",3208,"Viola grypoceras A. Gray","Viola grypoceras","VIOLACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,65,0,"",1,"?????","Cirsium nipponicum (Maxim.) Makino var. incomptum (Maxim.) Kitam.","",223,223,"Asteraceae","Cirsium","nipponicum","(Maxim.) Makino","var.","incomptum","(Maxim.) Kitam.","","","",65,41,"No st",223,"Cirsium nipponicum (Maxim.) Makino var. incomptum Maxim.","Cirsium nipponicum var. incomptum","Asteraceae","GD","GD","GD","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,66,63,"",1,"??????","Gynostemma pentaphylla (Thunb.) Makino","",29801,29801,"Cucurbitaceae","Gynostemma","pentaphylla","(Thunb.) Makino","","","","","","",66,328,"No st",29801,"Gynostemma pentaphylla (Thunb.) Makino","Gynostemma pentaphylla","CUCURBITACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,67,64,"",1,"????","Melia azedarach L.","",5356,5356,"Meliaceae","Melia","azedarach","L.","","","","","","",67,128,"No st",5356,"Melia azedarach L.","Melia azedarach","MELIACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,68,0,"",1,"?????","Erigeron philadelphicus L.","",4195,4195,"Asteraceae","Erigeron","philadelphicus","L.","","","","","","",68,43,"No st",4195,"Erigeron philadelphicus L.","Erigeron philadelphicus","Asteraceae","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,69,0,"",1,"??????????","Solidago altissima L.","",4157,4157,"Asteraceae","Solidago","altissima","L.","","","","","","",69,54,"No st",4157,"Solidago altissima L.","Solidago altissima","Asteraceae","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,70,0,"",1,"??????","Youngia japonica (L.) DC.","",4062,4062,"Asteraceae","Youngia","japonica","(L.) DC.","","","","","","",70,59,"No st",4062,"Youngia japonica (L.) DC.","Youngia japonica","Asteraceae","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","footpath","","y",1,71,0,"o",1,"?????????","Phytolacca americana L.","",10043,10043,"Phytolaccaceae","Phytolacca","americana","L.","","","","","","",71,150,"No st",10043,"Phytolacca americana L.","Phytolacca americana","PHYTOLACCACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","footpath, edge","","y",1,72,0,"",1,"?????","Trichosanthes cucumeroides (Ser.) Maxim.","",5630,5630,"Cucurbitaceae","Trichosanthes","cucumeroides","(Ser.) Maxim.","","","","","","",72,70,"No st",5630,"Trichosanthes cucumeroides (Ser.) Franch. et Sav.","Trichosanthes cucumeroides","CUCURBITACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","footpath, edge","","y",1,73,0,"",1,"????","Euscaphis japonica (Thunb.) Kanitz","",5455,5455,"Staphyleaceae","Euscaphis","japonica","(Thunb.) Kanitz","","","","","","",73,324,"No st",5455,"Euscaphis japonica (Thunb.) Kanitz","Euscaphis japonica","STAPHYLEACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,74,65,"",1,"?????","Cayratia japonica (Thunb.) Gagn.","",3193,3193,"Vitaceae","Cayratia","japonica","(Thunb.) Gagn.","","","","","","",74,285,"No st",3193,"Cayratia japonica (Thunb.) Gagnep.","Cayratia japonica","VITACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,75,0,"",1,"?????","Arisaema serratum (Thunb.) Schott","",24300,24300,"Araceae","Arisaema","serratum","(Thunb.) Schott","","","","","","",75,18,"No st",24300,"Arisaema serratum (Thunb.) Schott","Arisaema serratum","ARACEAE","GN","GN","GN","",0,
" "," ",1,"USHIKH1",18/06/2009,"Ushikh","wd","","","y",1,76,66,"",1,"????","Plantago asiatica L.","",5144,5144,"Plantaginaceae","Plantago","asiatica","L.","","","","","","",76,155,"No st",5144,"Plantago asiatica L.","Plantago asiatica","PLANTAGINACEAE","GN","GN","GN","",0,
