tag,del,scode,sampname,date,voucher,localname,hatusimasp,abun,treecount,hatufam,id,oldspnumbe,spnumber,family,genus,sp1,author1,rank1,sp2,author2,detstatus,xxfamily,star,synstar,xstar,sptempid,species,common,treetaxa,oldspnov,synspnum
" "," ",4001,"MtNago1",14/06/2010,"H402","ÉzÉãÉgÉmÉL","Elaeocarpus sylvestris (Lour.) Poir.",1,0,"Elaeocarpaceae",11,5493,5493,"Elaeocarpaceae","Elaeocarpus","sylvestris","(Lour.) Poir.","","","","","ELAEOCARPACEAE","GN","GN","GN",5493,"Elaeocarpus sylvestris (Lour.) Poir.","","Elaeocarpus sylvestris","Elaeocarpus sylvestris (Lour.) Poir.",0,
" "," ",4001,"MtNago1",14/06/2010,"H403","ÉIÉIÉAÉäÉhÉIÉVÅiH395ìØÅj","Damnacanthus indicus Gaertn.f.  var. major (Siebold et Zucc.) Makino",1,0,"Oleaceae",12,29926,29926,"Rubiaceae","Damnacanthus","indicus","Gaertn.f.","var.","major","(Siebold et Zucc.) Makino","","RUBIACEAE","GN","GN","GN",29926,"Damnacanthus indicus Gaertn.f. var. major (Siebold et Zucc.) Makino","","Damnacanthus indicus var. major","Damnacanthus indicus Gaertn.f.  var. major (Siebold et Zucc.) Makino",0,
" "," ",4001,"MtNago1",14/06/2010,"H404","ÉIÉLÉiÉèÉVÉÉÉäÉìÉoÉC","Rhaphiolepis indica (L.) Lindl. ex Ker",1,0,"-",13,29938,29938,"Rosaceae","Rhaphiolepis","indica","(L.) Lindl. ex Ker","","","","","ROSACEAE","GN","GN","GN",29938,"Rhaphiolepis indica (L.) Lindl. ex Ker","","Rhaphiolepis indica","Rhaphiolepis indica (L.) Lindl. ex Ker",0,
" "," ",4001,"MtNago1",14/06/2010,"H405","ÉRÉoÉìÉÇÉ`","Elaeocarpus japonicus S. & Z.",1,0,"Elaeocarpaceae",14,5494,5494,"Elaeocarpaceae","Elaeocarpus","japonicus","S. & Z.","","","","","ELAEOCARPACEAE","GN","GN","GN",5494,"Elaeocarpus japonicus Sieb. et Zucc.","","Elaeocarpus japonicus","Elaeocarpus japonicus S. & Z.",0,
" "," ",4001,"MtNago1",14/06/2010,"H406","ÉCÉkÉKÉV","Neolitsea aciculata (Bl.) Koidz.",1,0,"Lauraceae",15,10302,10302,"Lauraceae","Neolitsea","aciculata","(Bl.) Koidz.","","","","","LAURACEAE","GN","GN","GN",10302,"Neolitsea aciculata (Blume) Koidz.","","Neolitsea aciculata","Neolitsea aciculata (Bl.) Koidz.",0,
" "," ",4001,"MtNago1",14/06/2010,"H407","ÉÄÉx","Stauntonia hexaphylla (Thunb.) Decne.",1,0,"Lardizabalaceae",16,10578,10578,"Lardizabalaceae","Stauntonia","hexaphylla","(Thunb.) Decne.","","","","","LARDIZABALACEAE","GN","GN","GN",10578,"Stauntonia hexaphylla (Thunb.) Decne.","","Stauntonia hexaphylla","Stauntonia hexaphylla (Thunb.) Decne.",0,
" "," ",4001,"MtNago1",14/06/2010,"H408","ÉXÉ_ÉWÉC","Castanopsis sieboldii (Makino) Hatusima ex Yamazaki & Mashiba",1,0,"Fagaceae",17,18024,18024,"Fagaceae","Castanopsis","sieboldii","(Makino) Hatusima ex Yamazaki & Mashiba","","","","","FAGACEAE","BU/","BU/","GN",18024,"Castanopsis sieboldii (Makino) Hatus ex T.Yamaz. et Mashiba","","Castanopsis sieboldii","Castanopsis sieboldii (Makino) Hatusima ex Yamazaki & Mashiba",0,
" "," ",4001,"MtNago1",14/06/2010,"H409","ÉVÉ}É~ÉTÉIÉmÉL","Randia canthioides Champ. ex Benth.",1,0,"Rubiaceae",18,4794,4794,"Rubiaceae","Randia","canthioides","Champ. ex Benth.","","","","","RUBIACEAE","GN","GN","GN",4794,"Randia canthioides Champ. ex Benth.","","Randia canthioides","Randia canthioides Champ. ex Benth.",0,
" "," ",4001,"MtNago1",14/06/2010,"H410","ÉnÉ[ÉmÉL","Rhus succedanea L.",1,0,"Anacardiaceae",19,5374,5374,"Anacardiaceae","Rhus","succedanea","L.","","","","","ANACARDIACEAE","GN","GN","GN",5374,"Rhus succedanea L.","","Rhus succedanea","Rhus succedanea L.",0,
"S"," ",4001,"MtNago1",14/06/2010,"H411","É^ÉuÉmÉL","Persea thunbergii (S. & Z.) Kosterm.",1,0,"Lauraceae",20,29935,10300,"Lauraceae","Machilus","thunbergii","(S. & Z.) Kosterm.","","","","","LAURACEAE","GN","","GN",13699,"Machilus thunbergii Siebold et Zucc. ex Meisn.","","Persea thunbergii","Persea thunbergii (S. & Z.) Kosterm.",13699,
"S"," ",4001,"MtNago1",14/06/2010,"H412","É^ÉuÉmÉL","Persea thunbergii (S. & Z.) Kosterm.",1,0,"Lauraceae",21,29935,10300,"Lauraceae","Machilus","thunbergii","(S. & Z.) Kosterm.","","","","","LAURACEAE","GN","","GN",13699,"Machilus thunbergii Siebold et Zucc. ex Meisn.","","Persea thunbergii","Persea thunbergii (S. & Z.) Kosterm.",13699,
" "," ",4001,"MtNago1",14/06/2010,"H413","ÉVÉVÉAÉNÉ`","Ardisia quinquegona Bl.",1,0,"Myrsinaceae",22,4532,4532,"Myrsinaceae","Ardisia","quinquegona","Bl.","","","","","MYRSINACEAE","GN","GN","GN",4532,"Ardisia quinquegona Bl.","","Ardisia quinquegona","Ardisia quinquegona Bl.",0,
"S"," ",4001,"MtNago1",14/06/2010,"H414","ÉCÉWÉÖ","Schima wallichii (DC.) Korthals ssp. liukiuensis (Nakai) Bloemb.",1,0,"Theaceae",23,14746,10726,"Theaceae","Schima","noronhae","(DC.) Korthals","","","(Nakai) Bloemb.","","THEACEAE","GN","","?",14746,"Schima noronhae Reinw, Blume","","Schima wallichii ssp. liukiuensis","Schima wallichii (DC.) Korthals ssp. liukiuensis (Nakai) Bloemb.",14746,
" "," ",4001,"MtNago1",14/06/2010,"H415","sp3","spp.3",1,0,"-",24,30144,30144,"","","spp.3","","","","","","","-","-","-",30144,"spp.3","","spp.3","spp.3",0,
" "," ",4001,"MtNago1",14/06/2010,"H416","ÉiÉìÉoÉìÉAÉèÉuÉL","Meliosma lepidota Bl. ssp. squmulata (Hance) Beus.",1,0,"Sabiaceae",25,29937,29937,"Sabiaceae","Meliosma","lepidota","Bl.","subsp.","squmulata","(Hance) Beus.","","MELIOSMACEAE","?","?","?",29937,"Meliosma lepidota Bl. ssp. squmulata (Hance) Beus.","","Meliosma lepidota ssp. squmulata","Meliosma lepidota Bl. ssp. squmulata (Hance) Beus.",0,
" "," ",4001,"MtNago1",14/06/2010,"H416","É~ÉhÉäÉJÉ^ÉqÉo","Selaginella doederleinii Hieron.",1,0,"Selaginellaceae",26,3278,3278,"Selaginellaceae","Selaginella","doederleinii","Hieron.","","","","","SELAGINELLACEAE","GN","GN","GN",3278,"Selaginella doederleinii Hieron.","","Selaginella doederleinii","Selaginella doederleinii Hieron.",0,
"S"," ",4001,"MtNago1",14/06/2010,"H417","ÉwÉNÉ\ÉJÉYÉâ","Paederia scandens (Lour.) Merr.",1,0,"Rubiaceae",27,7698,4835,"Rubiaceae","Paederia","foetida","(Lour.) Merr.","","","","","RUBIACEAE","GN","syn","syn",7698,"Paederia foetida L.","","Paederia scandens","Paederia scandens (Lour.) Merr.",7698,
" "," ",4001,"MtNago1",14/06/2010,"H418","É~ÉhÉäÉJÉ^ÉqÉo","Selaginella doederleinii Hieron.",1,0,"-",28,3278,3278,"Selaginellaceae","Selaginella","doederleinii","Hieron.","","","","","SELAGINELLACEAE","GN","GN","GN",3278,"Selaginella doederleinii Hieron.","","Selaginella doederleinii","Selaginella doederleinii Hieron.",0,
" "," ",4001,"MtNago1",14/06/2010,"H419","ÉqÉäÉÖÉEÉVÉ_","Blechnum orientale L.",1,0,"Blechnaceae",29,3530,3530,"Blechnaceae","Blechnum","orientale","L.","","","","","BLECHNACEAE","GN","GN","GN",3530,"Blechnum orientale L.","","Blechnum orientale","Blechnum orientale L.",0,
" "," ",4001,"MtNago1",14/06/2010,"H420","ÉqÉCÉâÉMÉYÉCÉi","Itea oldhamii C. K. Schneid.",1,0,"Saxifragaceae",30,11177,-999,"Saxifragaceae","Itea","oldhamii","C. K. Schneid.","","","","","Escalloniaceae","","","BU",-999,"Itea oldhamii C.K.Schneid.","","Itea oldhamii","Itea oldhamii C. K. Schneid.",0,
" "," ",4001,"MtNago1",14/06/2010,"H421","ÉVÉ}É~ÉTÉIÉmÉL","Randia canthioides Champ. ex Benth.",1,0,"Rubiaceae",31,4794,4794,"Rubiaceae","Randia","canthioides","Champ. ex Benth.","","","","","RUBIACEAE","GN","GN","GN",4794,"Randia canthioides Champ. ex Benth.","","Randia canthioides","Randia canthioides Champ. ex Benth.",0,
" "," ",4001,"MtNago1",14/06/2010,"H422","ÉVÉ}ÉÑÉ}ÉqÉnÉc","Antidesma pentandrum (Blanco) Merr.",1,0,"Euphorbiaceae",32,29923,29923,"Euphorbiaceae","Antidesma","pentandrum","(Blanco) Merr.","","","","","EUPHORBIACEAE","syn","syn","GN",29923,"Antidesma pentandrum (Blanco) Merr.","","Antidesma pentandrum","Antidesma pentandrum (Blanco) Merr.",0,
" "," ",4001,"MtNago1",14/06/2010,"H423","ÉGÉSÉmÉL","Styrax japonicus S. & Z.",1,0,"Styracaceae",33,4592,4592,"Styracaceae","Styrax","japonicus","S. & Z.","","","","","STYRACACEAE","GN","GN","GN",4592,"Styrax japonicus Sieb. et Zucc.","","Styrax japonicus","Styrax japonicus S. & Z.",0,
" "," ",4001,"MtNago1",14/06/2010,"H424","ÉIÉIÉVÉìÉWÉÖÉKÉÑ","Scleria terrestris (L.) Fassett",1,0,"Cyperaceae",34,24047,24047,"Cyperaceae","Scleria","terrestris","(L.) Fassett","","","","","CYPERACEAE","GN","GN","GN",24047,"Scleria terrestris (L.) Fassett","","Scleria terrestris","Scleria terrestris (L.) Fassett",0,
" "," ",4001,"MtNago1",14/06/2010,"H425","ÉVÉVÉAÉNÉ`","Ardisia quinquegona Bl.",1,0,"Myrsinaceae",35,4532,4532,"Myrsinaceae","Ardisia","quinquegona","Bl.","","","","","MYRSINACEAE","GN","GN","GN",4532,"Ardisia quinquegona Bl.","","Ardisia quinquegona","Ardisia quinquegona Bl.",0,
" "," ",4001,"MtNago1",14/06/2010,"H426","ÉIÉLÉiÉèÉVÉÉÉäÉìÉoÉC","Rhaphiolepis indica (L.) Lindl. ex Ker",1,0,"Rosaceae",36,29938,29938,"Rosaceae","Rhaphiolepis","indica","(L.) Lindl. ex Ker","","","","","ROSACEAE","GN","GN","GN",29938,"Rhaphiolepis indica (L.) Lindl. ex Ker","","Rhaphiolepis indica","Rhaphiolepis indica (L.) Lindl. ex Ker",0,
" "," ",4001,"MtNago1",14/06/2010,"H427","ÉXÉ_ÉWÉC","Castanopsis sieboldii (Makino) Hatusima ex Yamazaki & Mashiba",1,0,"Fagaceae",37,18024,18024,"Fagaceae","Castanopsis","sieboldii","(Makino) Hatusima ex Yamazaki & Mashiba","","","","","FAGACEAE","BU/","BU/","GN",18024,"Castanopsis sieboldii (Makino) Hatus ex T.Yamaz. et Mashiba","","Castanopsis sieboldii","Castanopsis sieboldii (Makino) Hatusima ex Yamazaki & Mashiba",0,
" "," ",4001,"MtNago1",14/06/2010,"H428","ÉÑÉ}ÉqÉnÉc","Antidesma  japonicum S. & Z.",1,0,"Euphorbiaceae",38,5266,5266,"Euphorbiaceae","Antidesma","japonicum","S. & Z.","","","","","EUPHORBIACEAE","GN","GN","GN",5266,"Antidesma japonicum Sieb. et Zucc.","","Antidesma japonicum","Antidesma  japonicum S. & Z.",0,
" "," ",4001,"MtNago1",14/06/2010,"H429","ÉAÉfÉN","Syzygium buxifolium Hook. & Arn.",1,0,"Myrtaceae",39,3216,3216,"Myrtaceae","Syzygium","buxifolium","Hook. & Arn.","","","","","MYRTACEAE","GN","GN","GN",3216,"Syzygium buxifolium Hook. et Arn.","","Syzygium buxifolium","Syzygium buxifolium Hook. & Arn.",0,
"S"," ",4001,"MtNago1",14/06/2010,"H430","ÉÄÉbÉ`ÉÉÉKÉâ","Ilex maximowicziana Loesen. var. mutchagara (Makino) Hatusima",1,0,"Aquifoliaceae",40,2207,5410,"Aquifoliaceae","Ilex","maximowicziana","Loesen.","","","(Makino) Hatusima","","AQUIFOLIACEAE","GD","syn","syn",2207,"Ilex maximowicziana Loes.","","Ilex maximowicziana var. mutchagara","Ilex maximowicziana Loesen. var. mutchagara (Makino) Hatusima",2207,
" "," ",4001,"MtNago1",14/06/2010,"H431","ÉnÉNÉTÉìÉ{ÉN","Viburnum japonicum (Thunb.) Spreng.",1,0,"Caprifoliaceae",41,5216,5216,"Caprifoliaceae","Viburnum","japonicum","(Thunb.) Spreng.","","","","","CAPRIFOLIACEAE","GD","GD","GD",5216,"Viburnum japonicum (Thunb. ex Murray) Spreng.","","Viburnum japonicum","Viburnum japonicum (Thunb.) Spreng.",0,
" "," ",4001,"MtNago1",14/06/2010,"H432","ÉGÉSÉmÉL","Styrax japonicus S. & Z.",1,0,"Styracaceae",42,4592,4592,"Styracaceae","Styrax","japonicus","S. & Z.","","","","","STYRACACEAE","GN","GN","GN",4592,"Styrax japonicus Sieb. et Zucc.","","Styrax japonicus","Styrax japonicus S. & Z.",0,
" "," ",4001,"MtNago1",14/06/2010,"H433","ÉXÉ_ÉWÉC","Castanopsis sieboldii (Makino) Hatusima ex Yamazaki & Mashiba",1,0,"Fagaceae",43,18024,18024,"Fagaceae","Castanopsis","sieboldii","(Makino) Hatusima ex Yamazaki & Mashiba","","","","","FAGACEAE","BU/","BU/","GN",18024,"Castanopsis sieboldii (Makino) Hatus ex T.Yamaz. et Mashiba","","Castanopsis sieboldii","Castanopsis sieboldii (Makino) Hatusima ex Yamazaki & Mashiba",0,
" "," ",4001,"MtNago1",14/06/2010,"H434","ÉTÉNÉâÉcÉcÉW","Rhododendron tashiroi Maxim.",1,0,"Ericaceae",44,4449,4449,"Ericaceae","Rhododendron","tashiroi","Maxim.","","","","","ERICACEAE","GD","GD","GD",4449,"Rhododendron tashiroi Maxim.","","Rhododendron tashiroi","Rhododendron tashiroi Maxim.",0,
" "," ",4001,"MtNago1",14/06/2010,"H435","ÉRÉVÉ_","Dicranopteris linearis (Burm. f.) Underw.",1,0,"Aspidiaceae",45,3341,3341,"Gleicheniaceae","Dicranopteris","linearis","(Burm. f.) Underw.","","","","","GLEICHENIACEAE","GN","GN","GN",3341,"Dicranopteris linearis (Burm. f.) Underw.","","Dicranopteris linearis","Dicranopteris linearis (Burm. f.) Underw.",0,
" "," ",4001,"MtNago1",14/06/2010,"H436","ÉTÉTÉNÉT","Lophatherum gracile Brongn.",1,0,"Gramineae",46,29531,29531,"Gramineae","Lophatherum","gracile","Brongn.","","","","","Gramineae","GN","GN","GN",29531,"Lophatherum gracile Brongn.","","Lophatherum gracile","Lophatherum gracile Brongn.",0,
"S"," ",4001,"MtNago1",14/06/2010,"H437","ÉVÉ}ÉgÉlÉäÉR","Fraxinus griffithii C. B. Clarke",1,0,"Oleaceae",47,7358,364,"Oleaceae","Fraxinus","griffithii","C. B. Clarke","var.","koshunensis","","","OLEACEAE","GN","GN","GN",7358,"Fraxinus griffithii C. B. Clarke var. koshunensis K. Mori","","Fraxinus griffithii","Fraxinus griffithii C. B. Clarke",7358,
" "," ",4001,"MtNago1",14/06/2010,"H438","ÉRÉoÉìÉÇÉ`","Elaeocarpus japonicus S. & Z.",1,0,"Rubiaceae",48,5494,5494,"Elaeocarpaceae","Elaeocarpus","japonicus","S. & Z.","","","","","ELAEOCARPACEAE","GN","GN","GN",5494,"Elaeocarpus japonicus Sieb. et Zucc.","","Elaeocarpus japonicus","Elaeocarpus japonicus S. & Z.",0,
" "," ",4001,"MtNago1",14/06/2010,"H439","ÉAÉIÉmÉNÉ}É^ÉPÉâÉì","Alpinia intermedia Gagnep.",1,0,"Zingiberaceae",49,26741,26741,"Zingiberaceae","Alpinia","intermedia","Gagnep.","","","","","ZINGIBERACEAE","GN","GN","GN",26741,"Alpinia intermedia Gagnep.","","Alpinia intermedia","Alpinia intermedia Gagnep.",0,
" "," ",4001,"MtNago1",14/06/2010,"H440","ÉZÉìÉäÉáÉE","Sarcandra glabra (Thunb.) Nakai",1,0,"Chloranthaceae",50,10622,10622,"Chloranthaceae","Sarcandra","glabra","(Thunb.) Nakai","","","","","CHLORANTHACEAE","?","?","GN",10622,"Sarcandra glabra (Thunb.) Nakai","","Sarcandra glabra","Sarcandra glabra (Thunb.) Nakai",0,
"S"," ",4001,"MtNago1",14/06/2010,"H441","ÉqÉJÉìÉUÉNÉâ","Prunus campanulata Maxim.",1,0,"Rosaceae",51,16763,11360,"Rosaceae","Cerasus","campanulata","Maxim.","","","","","ROSACEAE","GN","","GD",16763,"Cerasus campanulata (Maxim.) A.V.Vassil.","","Prunus campanulata","Prunus campanulata Maxim.",16763,
" "," ",4001,"MtNago1",14/06/2010,"H442","É^ÉCÉ~ÉìÉ^É`ÉoÉi","Rapanea neriifolia (S. & Z.) Mez",1,0,"Myrsinaceae",52,29939,29939,"","Rapanea","neriifolia","(S. & Z.) Mez","","","","","MYRSINACEAE","GN","GN","GN",29939,"Rapanea neriifolia (S. & Z.) Mez","","Rapanea neriifolia","Rapanea neriifolia (S. & Z.) Mez",0,
" "," ",4001,"MtNago1",14/06/2010,"H443","É^ÉCÉèÉìÉTÉTÉLÉr","Ichnanthus pallens (Sm.) Benth. var. major (Nees) Stieber",1,0,"Gramineae",53,29940,29940,"Gramineae","Ichnanthus","pallens","(Sm.) Benth.","var.","major","(Nees) Stieber","","Gramineae","GN","GN","GN",29940,"Ichnanthus pallens (Sm.) Benth. var. major (Nees) Stieber","","Ichnanthus pallens var. major","Ichnanthus pallens (Sm.) Benth. var. major (Nees) Stieber",0,
" "," ",4001,"MtNago1",14/06/2010,"H444","ÉiÉìÉoÉìÉAÉèÉuÉL","Meliosma lepidota Bl. ssp. squmulata (Hance) Beus.",1,0,"Sabiaceae",54,29937,29937,"Sabiaceae","Meliosma","lepidota","Bl.","subsp.","squmulata","(Hance) Beus.","","MELIOSMACEAE","?","?","?",29937,"Meliosma lepidota Bl. ssp. squmulata (Hance) Beus.","","Meliosma lepidota ssp. squmulata","Meliosma lepidota Bl. ssp. squmulata (Hance) Beus.",0,
" "," ",4001,"MtNago1",14/06/2010,"H445","ÉJÉNÉåÉ~Ém","Dendropanax trifidus (Thunb.) Makino",1,0,"Araliaceae",55,5743,5743,"Araliaceae","Dendropanax","trifidus","(Thunb.) Makino","","","","","ARALIACEAE","GN","GN","GN",5743,"Dendropanax trifidus (Thunb.) Makino ex H. Hara","","Dendropanax trifidus","Dendropanax trifidus (Thunb.) Makino",0,
" "," ",4001,"MtNago1",14/06/2010,"H446","no record","incorrect record",1,0,"-",56,30143,30143,"","Incorrect","record","","","","","","","-","-","-",30143,"Incorrect record","","Incorrect record","incorrect record",0,
" "," ",4001,"MtNago1",14/06/2010,"H447","ÉzÉìÉOÉEÉVÉ_","Lindsaea odorata Roxb.",1,0,"Lindsaeaceae",57,3418,3418,"Lindsaeaceae","Lindsaea","odorata","Roxb.","","","","","DENNSTAEDTIACEAE","GN","GN","GN",3418,"Lindsaea odorata Roxb.","","Lindsaea odorata","Lindsaea odorata Roxb.",0,
" "," ",4001,"MtNago1",14/06/2010,"H448","ÉIÉLÉiÉèÉCÉ{É^","Ligustrum liukiuense Koidz.",1,0,"Oleaceae",58,4638,4638,"Oleaceae","Ligustrum","liukiuense","Koidz.","","","","","OLEACEAE","BK","BK","BK",4638,"Ligustrum liukiuense Koidz.","","Ligustrum liukiuense","Ligustrum liukiuense Koidz.",0,
" "," ",4001,"MtNago1",14/06/2010,"H449","ÉZÉìÉäÉáÉE","Sarcandra glabra (Thunb.) Nakai",1,0,"Chloranthaceae",59,10622,10622,"Chloranthaceae","Sarcandra","glabra","(Thunb.) Nakai","","","","","CHLORANTHACEAE","?","?","GN",10622,"Sarcandra glabra (Thunb.) Nakai","","Sarcandra glabra","Sarcandra glabra (Thunb.) Nakai",0,
" "," ",4001,"MtNago1",14/06/2010,"H450","sp5","spp.5",1,0,"-",60,30146,30146,"","","spp.5","","","","","","","-","-","-",30146,"spp.5","","spp.5","spp.5",0,
" "," ",4001,"MtNago1",14/06/2010,"H451","É{É`ÉáÉEÉW","Psychotria rubra (Lour.) Poir.",1,0,"Rubiaceae",61,4825,4825,"Rubiaceae","Psychotria","rubra","(Lour.) Poir.","","","","","RUBIACEAE","GN","GN","GN",4825,"Psychotria rubra (Lour.) Poir.","","Psychotria rubra","Psychotria rubra (Lour.) Poir.",0,
"S"," ",4001,"MtNago1",14/06/2010,"H452","ÉVÉ}ÉgÉlÉäÉR","Fraxinus griffithii C. B. Clarke",1,0,"Oleaceae",62,7358,364,"Oleaceae","Fraxinus","griffithii","C. B. Clarke","var.","koshunensis","","","OLEACEAE","GN","GN","GN",7358,"Fraxinus griffithii C. B. Clarke var. koshunensis K. Mori","","Fraxinus griffithii","Fraxinus griffithii C. B. Clarke",7358,
" "," ",4001,"MtNago1",14/06/2010,"H453","ÉqÉáÉEÉ^ÉìÉJÉYÉâ","Coptosapelta diffusa (Champ. ex Benth.) v. Steenis",1,0,"Rubiaceae",63,4783,4783,"Rubiaceae","Coptosapelta","diffusa","(Champ. ex Benth.) v. Steenis","","","","","RUBIACEAE","BU","BU","BU",4783,"Coptosapelta diffusa (Champ. ex Benth.) Steenis","","Coptosapelta diffusa","Coptosapelta diffusa (Champ. ex Benth.) v. Steenis",0,
" "," ",4001,"MtNago1",14/06/2010,"H454","ÉiÉJÉnÉâÉNÉçÉL","Symplocos lucida (Thunb.) S. & Z. var. nakaharae (Hayata) Makino & Nemoto",1,0,"Symplocaceae",64,29942,29942,"Symplocaceae","Symplocos","lucida","(Thunb.) S. & Z.","var.","nakaharae","(Hayata) Makino & Nem","","SYMPLOCACEAE","?","?","?",29942,"Symplocos lucida (Thunb.) S. & Z. var. nakaharae (Hayata) Makino & Nem","","Symplocos lucida var. nakaharae","Symplocos lucida (Thunb.) S. & Z. var. nakaharae (Hayata) Makino & Nem",0,
" "," ",4001,"MtNago1",14/06/2010,"H455","É^ÉVÉçÉãÉäÉ~ÉmÉL","Lasianthus fordii Hance",1,0,"Rubiaceae",65,4819,4819,"Rubiaceae","Lasianthus","fordii","Hance","","","","","RUBIACEAE","GN","GN","GN",4819,"Lasianthus fordii Hance","","Lasianthus fordii","Lasianthus fordii Hance",0,
" "," ",4001,"MtNago1",14/06/2010,"H456","ÉäÉÖÉEÉLÉÖÉEÉ}Éc","Pinus luchuensis Mayr",1,0,"Pinaceae",66,29913,29913,"Pinaceae","Pinus","luchuensis","Mayr","","","","","PINACEAE","GD","GD","GD",29913,"Pinus luchuensis Mayr","","Pinus luchuensis","Pinus luchuensis Mayr",0,
"S"," ",4001,"MtNago1",14/06/2010,"H457","ÉtÉJÉmÉL","Schefflera octophylla (Lour.) Harms",1,0,"Araliaceae",67,9291,5741,"Araliaceae","Schefflera","heptaphylla","(Lour.) Harms","","","","","ARALIACEAE","GN","syn","syn",9291,"Schefflera heptaphylla (L.) Frodin","","Schefflera octophylla","Schefflera octophylla (Lour.) Harms",9291,
" "," ",4001,"MtNago1",14/06/2010,"H458","sp6","spp.6",1,0,"-",68,30147,30147,"","","spp.6","","","","","","","-","-","-",30147,"spp.6","","spp.6","spp.6",0,
